0:	2.717747520364E-06
1:	4.801850082004E-06
2:	6.668460173387E-06
3:	8.746328603593E-06
4:	1.102043734136E-05
5:	1.299070027017E-05
6:	1.485202392359E-05
7:	1.652760875004E-05
8:	1.800679274311E-05
9:	1.964900729945E-05
10:	2.110292371071E-05
11:	2.272988422192E-05
12:	2.452014996379E-05
13:	2.577483064670E-05
14:	2.673806011444E-05
15:	2.792951090669E-05
16:	2.927811146947E-05
17:	3.080193710048E-05
18:	3.222332452424E-05
19:	3.339477552800E-05
20:	3.441649460001E-05
21:	3.559752440196E-05
22:	3.714381819009E-05
23:	3.890454172506E-05
24:	4.044277739013E-05
25:	4.165913560428E-05
26:	4.267793337931E-05
27:	4.381175676826E-05
28:	4.521935989032E-05
29:	4.672996874433E-05
30:	4.812875704374E-05
31:	4.929769784212E-05
32:	5.035700814915E-05
33:	5.148404306965E-05
34:	5.276482261252E-05
35:	5.411814345280E-05
36:	5.539346966543E-05
37:	5.651301398757E-05
38:	5.754368248745E-05
39:	5.861949830432E-05
40:	5.980177593301E-05
41:	6.103312261985E-05
42:	6.220953946467E-05
43:	6.327214214252E-05
44:	6.430578650907E-05
45:	6.544140342157E-05
46:	6.662715168204E-05
47:	6.784019205952E-05
48:	6.903046596562E-05
49:	7.015796290943E-05
50:	7.125514821382E-05
51:	7.236613600980E-05
52:	7.351733074756E-05
53:	7.468751573469E-05
54:	7.583477417938E-05
55:	7.693711086176E-05
56:	7.801764877513E-05
57:	7.910330896266E-05
58:	8.021420944715E-05
59:	8.133982919389E-05
60:	8.244712807937E-05
61:	8.352303848369E-05
62:	8.458131924272E-05
63:	8.564073505113E-05
64:	8.672031253809E-05
65:	8.780702773947E-05
66:	8.887983130990E-05
67:	8.993317169370E-05
68:	9.097447036766E-05
69:	9.201215289067E-05
70:	9.306235006079E-05
71:	9.411835344508E-05
72:	9.519494051347E-05
73:	9.625811799197E-05
74:	9.730881720316E-05
75:	9.836727258516E-05
76:	9.943563054549E-05
77:	1.005055673886E-04
78:	1.015703528537E-04
79:	1.026218669722E-04
80:	1.036659450619E-04
81:	1.047149344231E-04
82:	1.057679910446E-04
83:	1.068246347131E-04
84:	1.078758286894E-04
85:	1.089166762540E-04
86:	1.099519067793E-04
87:	1.109928998630E-04
88:	1.120314045693E-04
89:	1.130740274675E-04
90:	1.141126049333E-04
91:	1.151411561295E-04
92:	1.161736872746E-04
93:	1.171972107841E-04
94:	1.182242122013E-04
95:	1.192603813251E-04
96:	1.202849671245E-04
97:	1.213100258610E-04
98:	1.223210128956E-04
99:	1.233449875144E-04
100:	1.243685837835E-04
101:	1.254011294805E-04
102:	1.264303718926E-04
103:	1.274555979762E-04
104:	1.284757454414E-04
105:	1.294991379837E-04
106:	1.305233890889E-04
107:	1.315521076322E-04
108:	1.325688790530E-04
109:	1.335904380539E-04
110:	1.346095232293E-04
111:	1.356319407932E-04
112:	1.366479991702E-04
113:	1.376661384711E-04
114:	1.386886724504E-04
115:	1.397057058057E-04
116:	1.407246745657E-04
117:	1.417391031282E-04
118:	1.427603419870E-04
119:	1.437800674466E-04
120:	1.447938266210E-04
121:	1.458141632611E-04
122:	1.468186237616E-04
123:	1.478351332480E-04
124:	1.488549314672E-04
125:	1.498654601164E-04
126:	1.508803688921E-04
127:	1.518890931038E-04
128:	1.529047440272E-04
129:	1.539168006275E-04
130:	1.549358421471E-04
131:	1.559524098411E-04
132:	1.569680607645E-04
133:	1.579853415024E-04
134:	1.590087049408E-04
135:	1.600278337719E-04
136:	1.610364997759E-04
137:	1.620525144972E-04
138:	1.630786427995E-04
139:	1.640844420763E-04
140:	1.651074708207E-04
141:	1.661228598095E-04
142:	1.671412901487E-04
143:	1.681519497652E-04
144:	1.691755896900E-04
145:	1.701876753941E-04
146:	1.712006633170E-04
147:	1.722220767988E-04
148:	1.732355303830E-04
149:	1.742477761582E-04
150:	1.752675598254E-04
151:	1.762792089721E-04
152:	1.772980758687E-04
153:	1.783160405466E-04
154:	1.793327246560E-04
155:	1.803532359190E-04
156:	1.813732960727E-04
157:	1.823804777814E-04
158:	1.833927090047E-04
159:	1.844175130827E-04
160:	1.854315487435E-04
161:	1.864551886683E-04
162:	1.874713489087E-04
163:	1.884895464173E-04
164:	1.895157911349E-04
165:	1.905348908622E-04
166:	1.915494067362E-04
167:	1.925698452396E-04
168:	1.935989857884E-04
169:	1.946117117768E-04
170:	1.956406340469E-04
171:	1.966592826648E-04
172:	1.976924831979E-04
173:	1.987017021747E-04
174:	1.997318759095E-04
175:	2.007532457355E-04
176:	2.017729275394E-04
177:	2.028090093518E-04
178:	2.038302191067E-04
179:	2.048515016213E-04
180:	2.058867830783E-04
